ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-01-08,7.12353054,4.951889242574363,9.028720915484186,7.12353054,7.12353054,-0.10952679607049819,-0.10952679607049819,-0.10952679607049819,-0.10952679607049819,-0.10952679607049819,-0.10952679607049819,0.0,0.0,0.0,7.014003743929502
2025-01-09,7.1053547823255805,5.2008904532116915,9.115361054909766,7.1053547823255805,7.1053547823255805,0.10939530980013853,0.10939530980013853,0.10939530980013853,0.10939530980013853,0.10939530980013853,0.10939530980013853,0.0,0.0,0.0,7.214750092125719
2025-01-10,7.087179024651163,5.174628203471293,9.222173674714975,7.087179024651163,7.087179024651163,-0.052885476150647634,-0.052885476150647634,-0.052885476150647634,-0.052885476150647634,-0.052885476150647634,-0.052885476150647634,0.0,0.0,0.0,7.034293548500515
2025-01-11,7.069003266976743,5.214106425899729,9.411989306806138,7.069003266976743,7.069003266976743,0.2843708222680209,0.2843708222680209,0.2843708222680209,0.2843708222680209,0.2843708222680209,0.2843708222680209,0.0,0.0,0.0,7.353374089244764
2025-01-12,7.050827509302326,5.176320266266494,9.15701175732686,7.050827509302326,7.050827509302326,-0.023646562586129814,-0.023646562586129814,-0.023646562586129814,-0.023646562586129814,-0.023646562586129814,-0.023646562586129814,0.0,0.0,0.0,7.027180946716196
2025-01-13,7.032651751627906,4.8819548421002965,8.95779629263738,7.032651751627906,7.032651751627906,-0.11781608416571304,-0.11781608416571304,-0.11781608416571304,-0.11781608416571304,-0.11781608416571304,-0.11781608416571304,0.0,0.0,0.0,6.914835667462193
2025-01-14,7.014475993953489,4.848615494127312,8.9775230038819,7.014475993953489,7.014475993953489,-0.08989121309492379,-0.08989121309492379,-0.08989121309492379,-0.08989121309492379,-0.08989121309492379,-0.08989121309492379,0.0,0.0,0.0,6.924584780858566
2025-01-15,6.99630023627907,4.824325833363663,8.83999859062553,6.99630023627907,6.99630023627907,-0.1095267960706188,-0.1095267960706188,-0.1095267960706188,-0.1095267960706188,-0.1095267960706188,-0.1095267960706188,0.0,0.0,0.0,6.886773440208451
2025-01-16,6.978124478604651,5.026141533057313,9.100999060828117,6.978124478604651,6.978124478604651,0.10939530979987229,0.10939530979987229,0.10939530979987229,0.10939530979987229,0.10939530979987229,0.10939530979987229,0.0,0.0,0.0,7.087519788404523
2025-01-17,6.959948720930233,4.7899834482254215,8.842316141134667,6.959948720930233,6.959948720930233,-0.05288547615050265,-0.05288547615050265,-0.05288547615050265,-0.05288547615050265,-0.05288547615050265,-0.05288547615050265,0.0,0.0,0.0,6.90706324477973
2025-01-18,6.941772963255813,5.2650053947163755,9.186879464763999,6.941772963255813,6.941772963255813,0.2843708222670571,0.2843708222670571,0.2843708222670571,0.2843708222670571,0.2843708222670571,0.2843708222670571,0.0,0.0,0.0,7.22614378552287
2025-01-19,6.923597205581395,4.753417670964736,8.994733673895633,6.923597205581395,6.923597205581395,-0.02364656258612134,-0.02364656258612134,-0.02364656258612134,-0.02364656258612134,-0.02364656258612134,-0.02364656258612134,0.0,0.0,0.0,6.8999506429952735
2025-01-20,6.905421447906976,4.76045850820556,8.677909719150573,6.905421447906976,6.905421447906976,-0.11781608416557426,-0.11781608416557426,-0.11781608416557426,-0.11781608416557426,-0.11781608416557426,-0.11781608416557426,0.0,0.0,0.0,6.7876053637414016
2025-01-21,6.887245690232558,4.822041894709155,8.749622220666994,6.887245690232558,6.887245690232558,-0.08989121309553408,-0.08989121309553408,-0.08989121309553408,-0.08989121309553408,-0.08989121309553408,-0.08989121309553408,0.0,0.0,0.0,6.7973544771370245
2025-01-22,6.86906993255814,4.746224653714649,8.656289026893836,6.86906993255814,6.86906993255814,-0.10952679607004093,-0.10952679607004093,-0.10952679607004093,-0.10952679607004093,-0.10952679607004093,-0.10952679607004093,0.0,0.0,0.0,6.759543136488099
2025-01-23,6.850894174883721,4.806254305108211,8.946035386875192,6.850894174883721,6.850894174883721,0.10939530979997238,0.10939530979997238,0.10939530979997238,0.10939530979997238,0.10939530979997238,0.10939530979997238,0.0,0.0,0.0,6.960289484683694
2025-01-24,6.832718417209302,4.749841563432868,8.930963194190428,6.832718417209302,6.832718417209302,-0.05288547615043435,-0.05288547615043435,-0.05288547615043435,-0.05288547615043435,-0.05288547615043435,-0.05288547615043435,0.0,0.0,0.0,6.779832941058867
2025-01-25,6.814542659534883,5.195327808836984,9.051589840168013,6.814542659534883,6.814542659534883,0.28437082226736515,0.28437082226736515,0.28437082226736515,0.28437082226736515,0.28437082226736515,0.28437082226736515,0.0,0.0,0.0,7.098913481802248
2025-01-26,6.796366901860464,4.771242822941496,8.726960059891564,6.796366901860464,6.796366901860464,-0.023646562586112876,-0.023646562586112876,-0.023646562586112876,-0.023646562586112876,-0.023646562586112876,-0.023646562586112876,0.0,0.0,0.0,6.772720339274351
2025-01-27,6.778191144186046,4.89988730396794,8.699600467387649,6.778191144186046,6.778191144186046,-0.1178160841649486,-0.1178160841649486,-0.1178160841649486,-0.1178160841649486,-0.1178160841649486,-0.1178160841649486,0.0,0.0,0.0,6.660375060021098
2025-01-28,6.760015386633146,4.718030317953305,8.643194055856469,6.760015386633146,6.760015386633146,-0.08989121309435981,-0.08989121309435981,-0.08989121309435981,-0.08989121309435981,-0.08989121309435981,-0.08989121309435981,0.0,0.0,0.0,6.670124173538786
